Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D1_S1-A9_1_22178.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D1_S1-A10_1_22179.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D2_S1-A11_1_22180.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D2_S1-A12_1_22181.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D3_S1-B1_1_22182.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D3_S1-B2_1_22183.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D4_S1-B3_1_22184.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D4_S1-B4_1_22185.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L1_S1-B1_1_22186.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L1_S1-B2_1_22187.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L2_S1-B3_1_22188.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L2_S1-B4_1_22189.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L3_S1-A5_1_22174.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L3_S1-A6_1_22175.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L4_S1-A7_1_22176.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L4_S1-A8_1_22177.d
A0A8M3BB23	A0A8M3BB23_DANRE	tjp1a		44068.7	46178.1	53152.4	53238	45948.8	50928.6	42170.9	43974.4	43930.5	46239.8	44851.9	46598.7	45116.1	41851.6	60333.5	65745.9
A0A8M3BB40;Q9PW77	A0A8M3BB40_DANRE;Q9PW77_DANRE	LOC100537845;pbx4		13134.7	16313.6	21156	24445.5	21349.9	26462.8	16718.6	19980.5	26091.2	32549.9	6353.51	9795.9		5794.57	34262.7	51227
A0A8M3BBF1	A0A8M3BBF1_DANRE	ampd3a		11495.3	11413.7	11399.2	12732	14602	16578.6	11343.2	15414.7		12094	6046.77	14615.3	12890.3	10364.2	15371.1	12695.3
A0A8M3BBK0	A0A8M3BBK0_DANRE	gcn1		54410.5	53037.8	55413.1	54789	63020.7	61630.2	63608.4	59134.6	67304.9	59032.3	57423.2	55779.6	66327.8	64188.1	52822.2	54229
A0A8M3BC62	A0A8M3BC62_DANRE	cdk11b		26862.4	28597.2	27313.1	27762.2	30546.8	31775.6	25941.9	22643.1	24587.9	27755.9	31091.2	29702.5	30794.8	33151.1	28436.4	26331.4
A0A8M3BC88	A0A8M3BC88_DANRE	mylka		40001.8	35395.3	42644.4	45713.8	34378.6	35845.4	28067	30008.6	20283.8	24738.8	32826.8	36708.8	26324.7	26164.4	41594.4	41522.3
A0A8M3BCF6	A0A8M3BCF6_DANRE	ndufv3		53084.6	59554.5	73568.4	70480.5	66800.1	64909.8	69297.1	67447.2	87960.8	86619.6	74494.6	70988.6	71217.6	68760.1	69326.5	66166
A0A8M3BDM1;A0A8M9QLX5	A0A8M3BDM1_DANRE;A0A8M9QLX5_DANRE	LOC110438922;si:ch211-14i3.2		60791.7	54368.8	58621.4	57830.2	51617.6	57361.2	75137.2	61663.4	70708.2	57566.5	66540.2	69458	60954	56852.4	84841.1	89470.1
A0A8M3BDQ6	A0A8M3BDQ6_DANRE	eif4g3a		19480.2	22772.4	16293.5	15550.8	12972.7	16441.3	15812.3	16991.2	13292.2	14096.7	30170.6	23843	24652.2	18414.4	10379.5	16101.8
A0A8M3BDT3	A0A8M3BDT3_DANRE	zgc:162816		85579.3	84401.4	73992.1	74151.3	67945.2	64158.3	79549.7	72264.1	72274.8	74669.3	96206.8	95000	96241.9	103487	66107.9	55206.4
A0A8M3BDW6	A0A8M3BDW6_DANRE	sptbn1		334334	329020	370048	370309	312769	310716	307950	304608	295107	297274	345703	339424	338355	342084	380618	386557
A0A8M3BDY0	A0A8M3BDY0_DANRE	mprip		56814.6	53650.6	54947.7	54648.3	50693.8	47910.7	54720.4	46627.8	45793.1	48304	58207.1	63471.3	63554	51952.3	61470.1	60938.3
A0A8M3BE40	A0A8M3BE40_DANRE	osbpl7		49034.8	43640.6	39820.1	40830.5	43136.6	42365	46791.6	46469.4	46196.7	47539.2	49707.7	50584.3	55569.4	53083.1	39363.8	36423.6
A0A8M3BE44	A0A8M3BE44_DANRE	ablim1b		36638.2	31403.7	37620.5	35399.1	35902.3	34485.2	33107.6	34682	42150.3	33959.8	40071.6	36632.8	32649.9	30815.4	39437.3	41258.2
A0A8M3BE71	A0A8M3BE71_DANRE	ep300a		7358.19		6624.52	5789.58	13030	10517.8	9688.89	11816.8		13408		6277.31	12674.1	12680	5573.75	
A0A8M3BE96	A0A8M3BE96_DANRE	nhlrc2		23075.2	21861	22756.6	21686.6	23640.4	24611.5	25365.2	24676.2	23586.1	21877.8	23032.7	25658.1	25077.4	22781.8	23703.8	20019.9
A0A8M3BEF6	A0A8M3BEF6_DANRE	ppp3r1a		133345	130851	115930	118854	120637	113369	164425	144857	133680	111657	114550	116256	134115	120585	85228.2	86710.3
A0A8M3BEN4	A0A8M3BEN4_DANRE	mnat1		8380.01	5031.08	5655.42	2894.09	3503.48	1771.98	4437.07	4083.77		5326.46	7458.15	8371.19	8928.79	8985.18	3570.86	4587.81
A0A8M3BEY4	A0A8M3BEY4_DANRE	ppp3cb		82957.4	77567.1	79125.2	80362.3	68649.1	69306	70680.1	69962	72619.4	70102.8	85699.4	78925	89601.4	76426.6	83778.8	82460
A0A8M6YSX4	A0A8M6YSX4_DANRE	col6a4a		38790	37731.7	35961.4	33853.6	50697.4	46884.3	46604.7	43548.4	41345.4	34326.5	47597.3	42971.8	39490.8	41443.5	41134.1	40747.8
A0A8M6YT69	A0A8M6YT69_DANRE	cep170ba		11630.2	15363.9	14042.3	13869.7	15151.2	11973.7	13775.3	13433.7	15033.5	11293.8		16391.9	18265.6	19806.1	11128.6	11980.5
A0A8M6YTG2	A0A8M6YTG2_DANRE	upp1		27639	22781.2	20013.8	20553.8	26180.8	23202.4	25425.6	24791.8	38274.9	28027.8	41743	33742.3	27673.1	30040.1	27025.3	28355.1
A0A8M6YTS4	A0A8M6YTS4_DANRE	rab3gap2		47723.1	44639.5	36167.5	39334.7	34142.8	35311.7	37312.5	34934.7	28592.1	28858.3	51661	43091.9	55885.2	45847.3	30243.6	26140.3
A0A8M6YU25	A0A8M6YU25_DANRE	si:dkey-218f9.10		22032.2	19217.9	21485.2	20457.3	19975.1	19248	19814.6	21398.2	13158.5	16272.8	26066.1	24705.2	24362.9	23498.3	14072.6	12495.6
A0A8M6YU45	A0A8M6YU45_DANRE	serpina1		318795	285717	314873	332966	182812	187405	268124	221764	304142	232452	460681	441592	332854	327073	377537	417476
A0A8M6YUC5	A0A8M6YUC5_DANRE	plekhg3		10547.3	10027.1	11417.4	9137.78	9618.98	10718.5	10645.2	9350.55	10770.3	9286.21	10864.2	9727.91	13433.6	14464.2	9790	12067.4
A0A8M6YUH1	A0A8M6YUH1_DANRE	fam49al		12370	14121.1	16369.4	20581.9	14532.1	19156.2		16143.1	49613.6	33609.4		10514.4	12918.7	12224.3	26415.7	32551.9
A0A8M6YUK6	A0A8M6YUK6_DANRE	macf1a		46171.9	44710.9	47742.3	44442.3	44468.9	44634.2	46941.9	44719.7	42209.3	38576.5	50183.1	52409.5	46652	48759.3	46417.5	45917.7
A0A8M6YUN9	A0A8M6YUN9_DANRE	pde1cb		24332.2	24932.4	25125.1	23637	23688	21159.8	25514	23367.2	28995.5	18259	30769.7	27402.8	30875.3	30968.3	22603.1	20555.9
A0A8M6YUQ2	A0A8M6YUQ2_DANRE	fam131ba		26682.6	29242.9	24049.1	25286	24550.9	24438	24099.1	20156.6	25131.8	26465.8	23996.7	25819.1	22451.5	26040.8	27942.4	24897.8
A0A8M6YUV9	A0A8M6YUV9_DANRE	gab1		10708.1	13288.4	13900.1	12946.7	14621.2	16090	10418.8	9505.38	7576.22	9156.49	13620.4	13208.2	13418.3	17587.7	12267.6	11784
A0A8M6YUW2	A0A8M6YUW2_DANRE	ece2b		15775.5	20565.7	11597.4	12596.3	11746.1	13430	10315.4	13386.5	8027.81	16098.7	15612.9	16385.7	19794.9	17173.8	14880.6	15058
A0A8M6YUY1	A0A8M6YUY1_DANRE	col12a1b		11629.2	17975.6	14375.5	17785	14114.9	13359.3		11574.8			12073	8821.88	13878.8	8655.61	65107.2	59106.8
A0A8M6YUZ0	A0A8M6YUZ0_DANRE	alox5b.1		21069.3	20901.4			8011.5	10223.7	8841.42				21458.3	15450.1	25664.5	25361.6		5580.22
A0A8M6YV57	A0A8M6YV57_DANRE	stk38b		13448	14132.1	12185.1	13937.7	11682.8	14266.7		11182.6		13682.2	13954.8		12562	13020.1	14609.2	12023.9
A0A8M6YV78	A0A8M6YV78_DANRE	lyplal1		12519.4	13097.6	14408.8	14885.9	13938.8	13895.5	13961.4	14055.9	10863.9		16862	16377.6		17632.1	9982.62	10211.4
A0A8M6YVB9	A0A8M6YVB9_DANRE	ubr4		39970.2	38606.2	36606.1	35081.1	35728.6	31710.8	42054	36904.4	42618.9	37596.2	45472.4	42422.5	49785.8	47783.6	28617.8	29877.8
A0A8M6YVG6	A0A8M6YVG6_DANRE	iqsec1a		20564.9	22432.3	22431.2	23854.9	25951.5	18682.2	23675.6	17490.5	14348.2	17990.8	13599.9	13494.9	25501.5	25904	20939.1	18964.3
A0A8M6YVI4	A0A8M6YVI4_DANRE	srsf10a		52407.3	56287.9	52906.7	48852.8	45834.4	47860.8	53343.4	55816.4	48205.7	51952.9	62758.7	66773.1	59164.1	59754.4	48570.7	47681
A0A8M6YVR9	A0A8M6YVR9_DANRE	gars1		95564.1	90858.2	77884.5	81833.5	85820.4	84345	92423.3	89081.6	76089.2	77319.5	98228.1	99904.2	96548.7	113877	81535.6	79259.4
A0A8M6YVS1	A0A8M6YVS1_DANRE	si:ch211-207d6.2		34520.3	33297.2	38194.1	33284.3	35463.7	36231.9	38505.5	36708.7	30058.7	38502.7	37037.4	40520	38945.6	34596.9	37660.4	40048.3
A0A8M6YVW3	A0A8M6YVW3_DANRE	letmd1			15451.9	15318.1	18608.6	14440		14079.3	15467.4	20403	31113.3	12489.7	26348.5		16687.5	13806.4	18025.5
A0A8M6YW04;Q5TZG3;A0A8M3AYN3;A0A8M9PGI6;A0A8M9PKZ2	A0A8M3AYN3_DANRE;A0A8M6YW04_DANRE;A0A8M9PGI6_DANRE;A0A8M9PKZ2_DANRE;Q5TZG3_DANRE	myt1a;myt1b;myt1la;myt1lb;st18		5083.06	6118.42			7968.05		4224.37	5342.95					7133.69	11996.6	6786.52	4880.82
A0A8M6YW17	A0A8M6YW17_DANRE	fbn1		186680	185617	148127	148903	203096	210367	164187	165383	157761	186188	145346	152861	132973	137507	239219	262215
A0A8M6YW86	A0A8M6YW86_DANRE	itgb1a		14558.8	16584.8	18047.7	18197.1	11672.2	14373.5	12487.3	13764.4	5708.03	10144.5	13503.9	17157.2	10272.5	11968.2	16739.2	19684.4
A0A8M6YWB0	A0A8M6YWB0_DANRE	mtdha		56069.1	61973.4	68545.3	71464.5	69221.1	65359.3	61269.2	66773.4	82557.3	74550.4	66868.2	65392.5	69704.7	66248.1	70587.4	78780
A0A8M6YWE2	A0A8M6YWE2_DANRE	ccdc88ab		17436.4	23718.8	25988.7	23774.8	25004.5	22401.5	30153.9	24975.5	28242.4	20812	23781.1	19470.4	27716.3	24775.4	24906.9	21435.9
A0A8M6YWJ3	A0A8M6YWJ3_DANRE	enpp2l		44111.5	43523.6	43723	40835.3	38732.2	38983	39309.6	38023.4	32114.4	32423.5	44618.4	39168.6	46204	42782.3	45721.7	40634.4
A0A8M6YWP1	A0A8M6YWP1_DANRE	LOC108180196						5153.11	7358.76	9588.79		11377.4	4582.51					9165.9	7788.45
A0A8M6YWU8	A0A8M6YWU8_DANRE	hid1a		12616.1	14482.7	17848.7	14605.1	13099.5	12641.2	15125.3	15211.5		11734.1	20839.6	15787.9	15531.3	17213.2	12906.4	12173.6
A0A8M6YX01	A0A8M6YX01_DANRE	LOC567883		44177.3	35992.2	42472	44935.2	39747.6	38796.3	36581.4	34070.1	60952.9	42034.2	52722.4	49129.4	56596.4	57112.2	32033.8	30857.3
A0A8M6YX33	A0A8M6YX33_DANRE	fam114a2		59403	57862	52613.5	56564.3	57117	53809.9	60963.6	60182.2	57420.2	53292.7	66844.9	60152.1	71753.4	65830.5	54234.8	57192.4
A0A8M6YX38	A0A8M6YX38_DANRE	wdr7		85340.8	85536.3	80420.2	79404.9	83894.1	88379.5	88929.1	86123.3	80931.5	84011.1	79433.6	84258.3	83107.5	88383	85023.7	81146.6
A0A8M6YXG5	A0A8M6YXG5_DANRE	dock3		20442.9	21118.7	19915	16684.8	17839.2	17750.2	20616.7	20564.8	16230.4	14326.2	23868.9	21692	25722.7	23082.7	17146.1	13871.9
A0A8M6YXG9	A0A8M6YXG9_DANRE	si:ch211-226o13.1			2642.77				3592.62								3947.02	3023.25	2076.55
A0A8M6YXN9;A0A8M1RDJ6;A0A8M6YYN1;A0A8M6YYI3;A0A8M9PJ02;A0A8M9PSF0	A0A8M1RDJ6_DANRE;A0A8M6YXN9_DANRE;A0A8M6YYI3_DANRE;A0A8M6YYN1_DANRE;A0A8M9PJ02_DANRE;A0A8M9PSF0_DANRE	LOC100331720;LOC101882570;LOC101882666;LOC108183684;LOC108183846;LOC110438273			5795.67				7710.32			22535.6				8294.54			
A0A8M6YXT0	A0A8M6YXT0_DANRE	slc24a2		76750.2	73185.6	49554.6	51464	48500.7	45169.3	54831.3	53017.4	48181.4	49270.3	58991.1	51082.3	85961	84552.6	65557.7	55495.4
A0A8M6YXX1	A0A8M6YXX1_DANRE	syt6a		42705.7	56967.4	51836.8	53893	45602.5	47101.4	41145.9	47192	46186.9	43724	24113.2		27637.2	27870.7	58577.6	56512.3
A0A8M6YY36	A0A8M6YY36_DANRE	sorbs2a		18595.5	17459.4	22611.8	21988.6	18323.3	19485.8	17921.6	18922.8	24479.4	20617.6	17122.7	17990.4	14515.3	12997.6	21192.4	22708.7
A0A8M6YY49	A0A8M6YY49_DANRE	igic1s1		8589.31	10207.1	22144.7	22260.7	3822.68	4862.96	16930.3	15861.3		5151.3	9932.79	9031.37	4473.51	5037.14	14161.8	13471.8
A0A8M6YYI9	A0A8M6YYI9_DANRE	brsk2a		17903	23843.6	21800.4	21447.1	11438.5	10416.6	12412.4	12619	30835.9	22364.5	33498.8	28217	28309.3	25773.2	10501.7	8853.88
A0A8M6YYQ4	A0A8M6YYQ4_DANRE	ptprd		34661.2	30196.1	23868.4	25290	32636	27284.3	34430.9	30111.2	32626.4	27082	30861	31680.6	33055.9	35144.6	27466.7	21663.8
A0A8M6YYW5	A0A8M6YYW5_DANRE	pitpnm2		69686.6	62555.9	66959.5	71204.3	69399.3	81037.4	60512.2	67232.1	79268.8	85093.6	65874.5	70316.8	77979.5	69632.1	78964.8	89922.5
A0A8M6YYY8	A0A8M6YYY8_DANRE	cfi		34728.2	30509.6	34461.6	37000.8	29390.5	29550.8	31870.8	33463.4	34425.1	29914.1	41367.1	36191	32530.1	30537.1	58038.2	62454.1
A0A8M6YYZ5	A0A8M6YYZ5_DANRE	LOC564220		18553.6	21669.4	21681	19866.6	18004.7	14251.8	19829.7	16095.8		21538.7	22889.7	21124.5	21318.7	24620.7	18565.3	22895.5
A0A8M6YZ16	A0A8M6YZ16_DANRE	adamtsl7		7655.22	4398.33	11184.4	10075.8		18491.9	7048.2	8572.27		9556.17		6714.58			18269.8	24091.8
A0A8M6YZ89	A0A8M6YZ89_DANRE	nacc1a		20326.9	22395.9	28241.3	28438.2	24974.2	27114.5	26461.4	25776.9		25452.4	15860.5	25815.3	18112.5	21340.3	35353.1	37096.2
A0A8M6YZC0	A0A8M6YZC0_DANRE	stard5		14692.3	11777.3	9479.48	10530.7	9147.56	9887.07	12057.6	8691.07	11639.3	9297.49	9899.2	11081.1	12444.9	15853.1	15691.5	16657
A0A8M6YZH0	A0A8M6YZH0_DANRE	slc38a4		16995	10881.1	18720	14620.1	16130.9	16597.8	11588.2	15960	16800.1	20011.3	18671.1	23616.4	11903.1	16664.4	18657.5	15972.3
A0A8M6YZP6	A0A8M6YZP6_DANRE	srpk1a		21092.4	22630.9	26926.1	25615.1	24419.3	23352.6	30096.5	21006.1		23091.3	32061.4	26745.9		22655.9		21815.1
A0A8M6YZQ9	A0A8M6YZQ9_DANRE	osbp		63855.1	62530.5	53202.2	55624.3	58716.2	59586.3	67538.2	69455.4	68485	69233.8	64809.2	64900.7	67089.5	62921	60325.3	64356.7
A0A8M6YZR7	A0A8M6YZR7_DANRE	larp4ab		16705.4	16456.6	17111.5	18555.1	24048.8	22691.6	26280.6	17674.9	21991.5	16609.7	18001.3	16253	30123.3	25344.2	21142.9	23325
A0A8M6YZS5	A0A8M6YZS5_DANRE	chl1b		21266.7	23152.4	23195.2	24063.6	17793.5	22745.8	24798	22263.1	37411	29528.5	22004.2	25964.7	27033.9	21014	18648.6	16558.8
A0A8M6YZU9	A0A8M6YZU9_DANRE	si:dkey-16c7.3		11186.3	8142.62	10357.6	10869.8	9587.37	9198.48	9654.06	8832.88	11929.8	8628.14	14380.1	13748.6	7727.19	7123.16	9879.4	10229.8
A0A8M6YZX5	A0A8M6YZX5_DANRE	dab2ipa		51788	47884.6	52933.2	49903.9	43551.9	47606.2	46796.9	47169.2	52613.9	50248.4	47852.1	52356.4	52523.5	48522.9	48415.4	52184.6
A0A8M6YZX7	A0A8M6YZX7_DANRE	ap1g1		23427.4	22755.6	24630.3	24244	25953.6	26841.4	26820.4	26896.1	28140.1	25389.8	23872	26074	24958.8	25752	20417.1	24883.6
A0A8M6Z0B7	A0A8M6Z0B7_DANRE	mpdz		107936	101382	111456	108649	118638	116665	107643	117073	96640.6	109059	117524	113862	104797	114721	107552	110595
A0A8M6Z0B9	A0A8M6Z0B9_DANRE	fmnl2a		17238.2	15795.5	19995.7	16206.3	19649.6	16186.4	12914.4	14208.3	16204	13191	20588.4	21048.3	21682.2	18316	11781	12571.7
A0A8M6Z0F0	A0A8M6Z0F0_DANRE	sh3glb2a		25910	25133	15924.6	16369.7	13708	13922.6	13644.3	11713.6	14301.9	10951.9	17008	13313.4	21954.2	25758.9	16684.8	11765.6
A0A8M6Z0G5	A0A8M6Z0G5_DANRE	col6a3		218186	223493	85685.2	91622.6	99059.8	108591	112330	112894	81419.4	100611	126627	124196	129762	124395	484361	514657
A0A8M6Z0H2	A0A8M6Z0H2_DANRE	impg2a		48988.9	48280.2	78746.9	81673.8			39527.1	41928.1			56086.4	48111.1	50070.7	53151.9	40870.7	43933.6
A0A8M6Z0J2	A0A8M6Z0J2_DANRE	LOC100333618		22858.8	24766.4	27645	21627.8	23662	25605.3	20973	23494.4	26046.7	24179.8	26622.4	27406.6	19364.5	23106.3	29307.7	30001.3
A0A8M6Z0P5	A0A8M6Z0P5_DANRE	hook3		58289	66425.9	72530.4	68480.9	66001.2	77459.4	62969.6	72244.2	71571.9	74600.9	65120.4	56931.5	65335.8	74328.9	87506	92481.2
A0A8M6Z0S9	A0A8M6Z0S9_DANRE	caska		53854.4	63269.3	45413.4	46575.5	45488.1	49578.9	60315.6	55032.8	46304.8	45700.6	62280.9	63313.1	76474.1	72378.4	42425.3	40849.6
A0A8M6Z109	A0A8M6Z109_DANRE	rtf2		35999.5	33770.4	35998.2	33178.5	38720.7	35920.4	39967.7	37433.1	36628	39658.6	36606.8	38458.2	45790.2	42228.9	32743.3	34543.3
A0A8M6Z122	A0A8M6Z122_DANRE	nudt3b		8837.43	8007.97	11553.4	8165.39	4798.46	9094.08	4567.07	10140.6	7462.14	7936.07	9522.42	5676.88	8400.5	8774.44	6896.12	
A0A8M6Z144	A0A8M6Z144_DANRE	LOC100535353		25782.2	28048.9		12853		20337.6		12544.1		17351.8	18620	23357	13669.2	15195.4	15532.5	12674.7
A0A8M6Z1G1	A0A8M6Z1G1_DANRE	rsf1b.1			9085.68	17540.4	15437.3	12873.2	10505.1	10303.4			13413.9	17697.5	14259.4		14198.6		
A0A8M6Z1I2	A0A8M6Z1I2_DANRE	sar1aa		51887.7	46563	49919.4	48722.6	54399.4	48464.2	66634.5	69642.4	61871.5	48947.7	45870.8	50024.6	54235.3	51904.3	53440.8	67189.1
A0A8M6Z1M3	A0A8M6Z1M3_DANRE	abcf3		216481	172173	185922	181103	179626	195681	222217	206426	257407	217269	227620	210050	221547	220695	211538	133685
A0A8M6Z1M4	A0A8M6Z1M4_DANRE	LOC570405		9.38497e+06	9.22664e+06	1.0151e+07	1.0232e+07	9.01489e+06	8.8282e+06	9.17143e+06	9.11644e+06	7.15531e+06	7.92144e+06	1.02084e+07	9.94741e+06	1.06107e+07	1.0427e+07	1.01949e+07	1.0884e+07
A0A8M6Z1P2	A0A8M6Z1P2_DANRE	eef1da		48101.5	63479.1	67143.8	81819.8	59318.1	65357.5	47044.8	94364.4	51063.9	68312.2	37097.5	48174.9	26184.6	45518.9	136887	148040
A0A8M6Z1P4	A0A8M6Z1P4_DANRE	si:ch211-181d7.2		13379.6	16396.4		11255.9	8359.92		14880.6	13891.4	8337.8	7091.99	16119.5	9190.79	14067.2	13966	10670.4	4795.91
A0A8M6Z1T1	A0A8M6Z1T1_DANRE	znf576.2		62048	59793.1	75510.5	74045.4	65534.9	66667.5	63008.3	62968	40821.5	48609.6	63880.9	72954.7	64195.5	64869.6	66009.3	71921.6
A0A8M6Z1V1	A0A8M6Z1V1_DANRE	zgc:158689		144223	129425	154368		152084	89673		140471		222086	152458	153566		117116	130030	
A0A8M6Z223	A0A8M6Z223_DANRE	ncam3		53257.6	48836.9	81822.5	81962.4	40985.4	47084.2	30996.1	33639.7	30146.8	35107.4	49137.6	56020.2	31858.4	34041.5	112310	113199
A0A8M6Z226	A0A8M6Z226_DANRE	slc38a10		17950.2	17190.4	16638.2	13745.5	15179	13430.7		14422.7		18116.9	17042.9	16620.2			17284.6	16525.4
A0A8M6Z228	A0A8M6Z228_DANRE	srgap1a		9179.79	9178.67	5332.6	5811.87	8144.76	8637.27	9246.9	9615.09	11815.6	7925.44	11182.6	10312.3	8700.69	9599.5	3826.07	5671.69
A0A8M6Z250	A0A8M6Z250_DANRE	srp72		93271.3	96022.5	92254.9	91424.5	97021.8	94634.2	96818	97395.8	100847	96813.5	89807.6	91776.1	105209	102062	94121	91343.1
A0A8M6Z277	A0A8M6Z277_DANRE	si:dkey-94e7.2		49672.3	41881.6	47757.2	41116.8	37303.1	34159.5	41864	43931.5	44775.1	38041.7	43467.9	40765	56339.5	53960.2	27898.9	36154
A0A8M6Z292	A0A8M6Z292_DANRE	nme2b.1		568483	521114	590749	610368	595128	622430	466230	536236	614669	892099	631726	623370	651658	561962	783590	796001
A0A8M6Z2B4	A0A8M6Z2B4_DANRE	ckba		13179.9	12999.2	19491.1	21240	21058.7	21233.4	19512.8	22373.8	20109.9	25225.7	20074.1	19952.3	17348.5	19437.4	30416.3	28280.9
A0A8M6Z2D5	A0A8M6Z2D5_DANRE	pvrl2l		30104.9	29623.1	31971.7	33106	29535.7	25896.8	30082.9	25658.8		22399.1	33847.4	37271.3	32942.5	27143.4	34356.2	24124.6
A0A8M6Z2E9	A0A8M6Z2E9_DANRE	lyst		34451.3	34627.4	43758.7	40737.9	40210.5	43452.3	43923.2	34584.9	48266	40016.9	44545.6	42232.7	53693.1	40651.5	40318.8	27068.5
A0A8M6Z2K8	A0A8M6Z2K8_DANRE	abi2a						13604.1	16369.3	17207.9	14590.9		15241.5	21749.9	13121.6	18753.3	15694.1		12792.5
A0A8M6Z2M1	A0A8M6Z2M1_DANRE	gsr		51575	50471.8	48296.8	49001.8	49630.4	44762.6	47422.8	43950.1	47517.6	48989	57382.4	54697.6	53001.8	55411.9	47246.6	46784.9
A0A8M6Z2N7	A0A8M6Z2N7_DANRE	nnt2																19601.2	16992.5
A0A8M6Z2Y5	A0A8M6Z2Y5_DANRE	smad4a		35338.6	38183.9	24582.8	24757.3	31312	34564.1	28764	31059	17586.4	26365.3	33586.9	27730.8	39292.7	32693.2	27122	20152.3
A0A8M6Z345	A0A8M6Z345_DANRE	coa1		8924.59	11211.4	18805.3	12318.7			11595.6	19460.1	37864.2	57143	9089.94	10690.6			36052.3	43277.7
A0A8M6Z3E7	A0A8M6Z3E7_DANRE	mfn1b		12965.4	14756.8	12155.3		16901.8	15747.5	15928	13869.2	28849.2	12232.3	16607.7		19815.3	21864.5	14009	16926.1
A0A8M6Z3K2	A0A8M6Z3K2_DANRE	mpp3b		23456	22463.3	24641.8	27440.9	26981.9	23977.3	29441	30930.5	38602.5	31116.7	28346.8	28919.2	27956.8	28586.8	28706.3	22933.4
A0A8M6Z3P0	A0A8M6Z3P0_DANRE	ubap2a		40993.2	39094.1	42966.2	42634.7	43772.7	44366.1	42173.4	41157.4	41762.3	48169.2	40027.3	41804.5	31091.5	35819.6	45173.5	45337.6
A0A8M6Z3P2	A0A8M6Z3P2_DANRE	hm:zehn1575		450119	435268	380683	391522	409507	439530	403549	470763	294672	387019	370544	355732	348776	356502	495572	560925
A0A8M6Z3U6;A0A8M9PIN3;A0A8M9QAR7;A0A8M9QCM8;A0A8M9QK16;A0A0R4IHT1;A0A8M1RRS1;A0A8M2B7W6;A0A8M6Z365;A0A8M9P3J2;A0A8M9PBC7;A0A8M9PLT5;A0A8M9PLU5;A0A8M9PLU9;A0A8M9PMS7;A0A8M9PTZ8;A0A8M9PYY8;A0A8M9Q065;A0A8M9Q128;A0A8M9Q149;A0A8M9QC71;A0A8M9QCV4;A0A8M9QG75;A0A8M9QG79;A0A8M9QKF1;A7YYA4;E9QFX7	A0A0R4IHT1_DANRE;A0A8M1RRS1_DANRE;A0A8M2B7W6_DANRE;A0A8M6Z365_DANRE;A0A8M6Z3U6_DANRE;A0A8M9P3J2_DANRE;A0A8M9PBC7_DANRE;A0A8M9PIN3_DANRE;A0A8M9PLT5_DANRE;A0A8M9PLU5_DANRE;A0A8M9PLU9_DANRE;A0A8M9PMS7_DANRE;A0A8M9PTZ8_DANRE;A0A8M9PYY8_DANRE;A0A8M9Q065_DANRE;A0A8M9Q128_DANRE;A0A8M9Q149_DANRE;A0A8M9QAR7_DANRE;A0A8M9QC71_DANRE;A0A8M9QCM8_DANRE;A0A8M9QCV4_DANRE;A0A8M9QG75_DANRE;A0A8M9QG79_DANRE;A0A8M9QK16_DANRE;A0A8M9QKF1_DANRE;A7YYA4_DANRE;E9QFX7_DANRE	LOC100330882;LOC100331049;LOC100331451;LOC101883763;LOC103909414;LOC108179121;LOC110437735;LOC110437759;LOC110437830;LOC110438863;LOC110438948;LOC110438950;LOC110438955;LOC110438956;LOC110438960;LOC110438965;LOC559585;LOC560917;LOC562245;LOC793521;htra2-6;htra2-7;si:dkey-10b15.8;si:dkey-112g5.14;si:dkey-19p15.4;si:dkey-84o3.2		15683.2	17322.6	12768.2	15027.3	19164.9	17483.4	12255.8	16721.6		16622.4	14098.4	18801.6	18062.1	16599.7	11103.2	14917.3
A0A8M6Z3W4	A0A8M6Z3W4_DANRE	plxna1a		26940.9	26446.9	28034.3	27822.5	25853.9	24011.9	24585.5	26984.2	27638	26956.8	30519.2	26271.4	36450.5	32690.4	28775.4	28083
