Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D1_S1-A9_1_22178.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D1_S1-A10_1_22179.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D2_S1-A11_1_22180.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D2_S1-A12_1_22181.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D3_S1-B1_1_22182.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D3_S1-B2_1_22183.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D4_S1-B3_1_22184.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_D4_S1-B4_1_22185.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L1_S1-B1_1_22186.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L1_S1-B2_1_22187.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L2_S1-B3_1_22188.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L2_S1-B4_1_22189.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L3_S1-A5_1_22174.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L3_S1-A6_1_22175.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L4_S1-A7_1_22176.d	D:\MassSpecData\2024\Nov24\TessZFEyeProt\241010kw_TessZFEyeProt_L4_S1-A8_1_22177.d
Q4QRG0	Q4QRG0_DANRE	ewsr1b		112823	125165	136531	132837	142964	134744	122268	124375	116023	135327	133724	129501	131367	139542	136069	152778
Q4QRH7	PEX16_DANRE	pex16		11294.2	13707.2	13909.9	11616.7	16564.1	14537.3	13941.8	13516.2	23157.1	12687.9	16961.8	13739	11876.3	15532.8	13311.9	11325.8
Q4QRJ7	EIF2A_DANRE	eif2a		51528.2	51240	51005.9	49855.4	54166.4	55937	51293.8	52169.7	53662.5	50727.7	49852.8	54746.3	59713.9	53636	58147.7	60745.8
Q4QRK0	MAP11_DANRE	metap1		51307	51388.9	43157.9	41469.6	48840.5	45044	51801.1	49614.9	47163.1	42069	56885.2	49399.4	50521.5	51402.7	46182.6	44653.2
Q4QRM2	Q4QRM2_DANRE	nip2		9206.95	15581.4	8452.93	13657.1	8073.47	17373.6	5699.63	10862	13666.1	27868.9	5822.94	9076.74	6166.18	3689.85	24493.6	15853.3
Q4TVV3	DDX46_DANRE	ddx46		73108	72869.2	72059.2	67794	72017.2	67294.2	79381.7	73039.7	68375.2	70072.5	76115.7	79298.9	76952.7	78825.6	70918.7	67431.2
Q4U0S5	PAF1_DANRE	paf1		18749.1	18588.6	17343.2	16612.3	16716.7	23241.4	21805.6	18468.7	39057.4	29956.6	15598.6	20207	9741.9	18638.2	20535.8	28643.1
Q4U3K9	Q4U3K9_DANRE	ahr1b		6686.42	4725.31	9893.34	9826.89	8529.42	7863.5	4187.09	9451.97		9419.34				5186.15	11868.5	12696.5
Q4V8Q5	Q4V8Q5_DANRE	srsf7b		29305.6	26672.8	34267.2	25532.6	31040.8	26138.7	36324.1	31173.3	27092.4	21559.9	47033.1	39147.3	56536	58749.4	28908.7	28529.3
Q4V8R0	Q4V8R0_DANRE	sagb		639502	659535	604812	610839	718417	744948	772950	822139	347315	434697	543293	566001	833786	801834	635636	694433
Q4V8S2	Q4V8S2_DANRE	rcvrna		1.93152e+06	1.95647e+06	2.17213e+06	2.287e+06	2.17443e+06	2.25282e+06	2.22059e+06	2.22923e+06	2.42776e+06	2.39415e+06	1.97756e+06	1.97493e+06	2.03116e+06	1.98129e+06	2.189e+06	2.34248e+06
Q4V8S5	Q4V8S5_DANRE	acbd7		2.59375e+06	2.49147e+06	2.92494e+06	2.93009e+06	2.80835e+06	2.85528e+06	3.02337e+06	2.97421e+06	3.0527e+06	2.91535e+06	3.12395e+06	2.90812e+06	2.8794e+06	2.9552e+06	2.87829e+06	3.23951e+06
Q4V8U2	Q4V8U2_DANRE	scamp4											34312.5						27669.2
Q4V8U4	Q4V8U4_DANRE	pdf		8172.97	10637	6712.85	7758.24	8275.8	9722.21	9631.92	7214.3	10372.4		11488.3	3665.24	11547.2	7888.04	5082.93	
Q4V8U5	ANO10_DANRE	ano10		26269.8	21893.4	22891.4	20830.2	24512.5	27659.6	28032.4	23631.8	22663.5	20578.5	32174.9	24815.9	27417.3	26491.5	22354.8	20899.4
Q4V8U8	Q4V8U8_DANRE	rab27a		42330.3	39091.1	56025.6	55658.4	47930.9	56864	49621.7	44368.5	45524.6	39351.6	38674.9	39772.8	40551.4	42023.8	65632.5	86040.4
Q4V8V7	Q4V8V7_DANRE	srcin1b		16501.5	18830.4	19259.2	14783.4	14847	17459	18306.5	16396.1		19988.6	19211.6	20945.5	14492.7	14329.9	21680.1	15646.7
Q4V8W3	Q4V8W3_DANRE	lrrc8aa		12541.2	21325.8	15825.6	15631.4	15189	13139.5	15483.7	16199	12972.1	14359.6	14838.9	24942.8	18899.4	16980.6	15424.5	16076.1
Q4V8W8	Q4V8W8_DANRE	snip1		5360.32	4937.87	5416.46	5033.09	5309.58	4519.32	5634.77	5125.16					5389.23	4363.19	5508.17	4335.72
Q4V8X4	ACBD6_DANRE	acbd6		30298	37197.7	36015.4	35663.8	35219.6	41554.7	40233.9	35159.3	52717.4	51791.2	41107.4	39578	36613.4	35807.1	43606.8	43176.9
Q4V8X5	Q4V8X5_DANRE	mlf2		9242.08	13347.6		9145.48	16395.2	13649.5	13591.7			18462.2	15315.8	19730.2	17269.7	17219.4	14299.3	
Q4V8X8	Q4V8X8_DANRE	slc25a29		4227.67		4778.7	5477.56	7524.62	5839.88	5586.47	7534.98	22973.3	16868.6	6482.26				12080.3	13574.3
Q4V8Z1	Q4V8Z1_DANRE	tsnax		41452.4	42810.1	33329.4	33501.2	42496.1	33565.7	39270	42888.5	29264	34867	38501.4	40981.6	48469.6	52366.6	33065.2	33470
Q4V8Z4	Q4V8Z4_DANRE	snx1b		51661.1	58457.8	33222.2	41642.1	33883.1	37611.4	52581	54260.5	41354	47974.4	63096.6	61906.1	68269.5	37109.3	39637.7	35976.2
